VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,grab-sensor,L/s,5195,1969-06-17T00:00:00Z,2018-08-22T00:00:00Z,0.3,0,36.03
Ca,Calcium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Cl,Chloride,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
K,Potassium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Mg,Magnesium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Na,Sodium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
NH4,Ammonium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
NO3,Nitrate,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
pH,pH,grab-nonsensor,unitless,4785,1993-01-12T00:00:00Z,2009-03-31T00:00:00Z,0.8,0,89.74
SO4,Sulfate,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
spCond,Specific Conductivity,grab-nonsensor,uS/cm,4785,1993-01-12T00:00:00Z,2009-03-31T00:00:00Z,0.8,0,89.74
Ca,Calcium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Cl,Chloride,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
K,Potassium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Mg,Magnesium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
Na,Sodium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
NH4,Ammonium,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
NO3,Nitrate,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
pH,pH,grab-nonsensor,unitless,4785,1993-01-12T00:00:00Z,2009-03-31T00:00:00Z,0.8,0,89.74
SO4,Sulfate,grab-nonsensor,mg/L,3105,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,0.5,0,89.66
spCond,Specific Conductivity,grab-nonsensor,uS/cm,4785,1993-01-12T00:00:00Z,2009-03-31T00:00:00Z,0.8,0,89.74
precipitation,Basin Precip,installed-sensor,mm,5390,1993-09-22T00:00:00Z,2016-10-07T00:00:00Z,0.6,0,2.19
abs254,UV Absorbance at 254nm,grab-nonsensor,unitless,1853,2002-05-14T00:00:00Z,2018-08-14T00:00:00Z,0.3,0,47.49
